feature_count,accuracy,roc_auc,log_loss,train_latency_seconds,predict_latency_seconds,end_to_end_latency_seconds,cumulative_mean_abs_shap_value,mean_abs_shap_value_at_k,selected_features
4,0.715,0.7214667314230209,0.5616944076674167,3.610439041047357,1.5616810419596732,5.17212008300703,0.49683657721713714,0.0737846609274482,"checking_status,duration,purpose,credit_history"
6,0.745,0.7455075279261777,0.5387261998607328,2.3342637500027195,1.2845343749504536,3.618798124953173,0.6081134195185793,0.0441053774839077,"checking_status,duration,purpose,credit_history,credit_amount,employment"
8,0.745,0.7428363283147159,0.539705028913409,3.1577728330157697,1.3589213329833,4.51669416599907,0.6781493873226054,0.0304193414973318,"checking_status,duration,purpose,credit_history,credit_amount,employment,property_magnitude,existing_credits"
10,0.74,0.7450218552695483,0.5378513250520054,2.5732435840182006,1.229600916034542,3.8028445000527427,0.7261082996362194,0.0205826951632413,"checking_status,duration,purpose,credit_history,credit_amount,employment,property_magnitude,existing_credits,installment_commitment,own_telephone"
12,0.78,0.7512141816415736,0.5256599234307697,2.458520582993515,1.346215375000611,3.804735957994126,0.7641213399955894,0.0177469378605738,"checking_status,duration,purpose,credit_history,credit_amount,employment,property_magnitude,existing_credits,installment_commitment,own_telephone,savings_status,other_parties"
15,0.77,0.746236036911122,0.5352845265914872,2.6537678750464693,1.234730250085704,3.8884981251321733,0.8143885765110617,0.0163379479842424,"checking_status,duration,purpose,credit_history,credit_amount,employment,property_magnitude,existing_credits,installment_commitment,own_telephone,savings_status,other_parties,housing,job,foreign_worker"
20,0.775,0.7563137445361826,0.5179801766051441,3.016165875014849,1.5323663749732077,4.548532249988057,0.8817161074700762,0.0107539502928165,"checking_status,duration,purpose,credit_history,credit_amount,employment,property_magnitude,existing_credits,installment_commitment,own_telephone,savings_status,other_parties,housing,job,foreign_worker,num_dependents,age,other_payment_plans,personal_status,residence_since"
21,0.76,0.7576493443419134,0.5175740929753142,4.197143582976423,1.6484454170567915,5.845589000033215,0.8817161074700762,0.0,"checking_status,duration,purpose,credit_history,credit_amount,employment,property_magnitude,existing_credits,installment_commitment,own_telephone,savings_status,other_parties,housing,job,foreign_worker,num_dependents,age,other_payment_plans,personal_status,residence_since,synthetic_uniform_feature"
22,0.755,0.7587421078193298,0.5155133154887508,3.7372413750272244,1.4426299579208717,5.179871332948096,0.8817161074700762,0.0,"checking_status,duration,purpose,credit_history,credit_amount,employment,property_magnitude,existing_credits,installment_commitment,own_telephone,savings_status,other_parties,housing,job,foreign_worker,num_dependents,age,other_payment_plans,personal_status,residence_since,synthetic_uniform_feature,synthetic_normal_feature"
23,0.755,0.7557066537153958,0.5193677414050566,3.495711583062075,1.6161230409052223,5.111834623967297,0.8817161074700762,0.0,"checking_status,duration,purpose,credit_history,credit_amount,employment,property_magnitude,existing_credits,installment_commitment,own_telephone,savings_status,other_parties,housing,job,foreign_worker,num_dependents,age,other_payment_plans,personal_status,residence_since,synthetic_uniform_feature,synthetic_normal_feature,synthetic_binary_feature"
24,0.77,0.7588635259834872,0.5125434368160934,3.9616519999690354,1.5228259589057416,5.484477958874777,0.8817161074700762,0.0,"checking_status,duration,purpose,credit_history,credit_amount,employment,property_magnitude,existing_credits,installment_commitment,own_telephone,savings_status,other_parties,housing,job,foreign_worker,num_dependents,age,other_payment_plans,personal_status,residence_since,synthetic_uniform_feature,synthetic_normal_feature,synthetic_binary_feature,synthetic_sparse_binary_feature"
25,0.77,0.7599562894609033,0.5132002180994948,3.338477834011428,1.5657798750326037,4.904257709044032,0.8817161074700762,0.0,"checking_status,duration,purpose,credit_history,credit_amount,employment,property_magnitude,existing_credits,installment_commitment,own_telephone,savings_status,other_parties,housing,job,foreign_worker,num_dependents,age,other_payment_plans,personal_status,residence_since,synthetic_uniform_feature,synthetic_normal_feature,synthetic_binary_feature,synthetic_sparse_binary_feature,synthetic_heavy_tailed_feature"
